delivery_date,trigger_fraction,shock,seed,total_distance_km,total_lateness_min,nr_distance,otd_num,otd_den,rsi,moved_stops,n_vehicles,n_unchanged,n_harm,runtime_ms,block_fully_unchanged,block_any_harm
INSTANCE_041,0.5,delay20,101,447.3501,2.8999999999999773,439.005,81,82,0.6944444444444445,22,3,1,0,4347.460746765137,0,0
INSTANCE_041,0.5,delay20,202,449.7065,2.8999999999999773,439.005,81,82,0.653968253968254,22,3,1,0,5751.0950565338135,0,0
INSTANCE_041,0.5,delay20,303,447.3501,2.8999999999999773,439.005,81,82,0.7063492063492064,22,3,1,0,1470.8330631256104,0,0
INSTANCE_041,0.5,delay30,101,447.3501,12.899999999999975,439.005,81,82,0.6166666666666667,22,3,1,0,5328.006744384766,0,0
INSTANCE_041,0.5,delay30,202,447.3501,12.899999999999975,439.005,81,82,0.6944444444444445,22,3,1,0,5840.761661529541,0,0
INSTANCE_041,0.5,delay30,303,449.238,12.899999999999975,439.005,81,82,0.6285714285714286,22,3,1,0,1473.2718467712402,0,0
INSTANCE_041,0.5,p85,101,443.338,0.0,439.005,82,82,0.7561050061050061,15,3,1,0,5186.645269393921,0,0
INSTANCE_041,0.5,p85,202,443.3599,0.0,439.005,82,82,0.7457875457875458,14,3,1,0,6052.784204483032,0,0
INSTANCE_041,0.5,p85,303,445.4677,0.0,439.005,82,82,0.791025641025641,23,3,1,0,1570.0807571411133,0,0
INSTANCE_041,0.5,p95,101,467.466,0.527021666666883,439.005,81,82,0.6900793650793652,25,3,1,0,5034.802675247192,0,0
INSTANCE_041,0.5,p95,202,444.3084,0.0,439.005,82,82,0.7083333333333334,24,3,1,0,6187.348365783691,0,0
INSTANCE_041,0.5,p95,303,444.2829,0.0,439.005,82,82,0.6546092796092796,24,3,1,0,1479.7215461730957,0,0
INSTANCE_041,0.75,delay20,101,442.9711,2.926666666666506,439.005,81,82,0.9345238095238096,4,3,2,0,863.0764484405518,0,0
INSTANCE_041,0.75,delay20,202,442.9711,2.926666666666506,439.005,81,82,0.9345238095238096,4,3,2,0,1080.1596641540527,0,0
INSTANCE_041,0.75,delay20,303,442.9711,2.926666666666506,439.005,81,82,0.9345238095238096,4,3,2,0,278.6269187927246,0,0
INSTANCE_041,0.75,delay30,101,442.9711,17.21833333333302,439.005,80,82,0.9345238095238096,4,3,2,0,869.0600395202637,0,0
INSTANCE_041,0.75,delay30,202,442.9711,17.21833333333302,439.005,80,82,0.9345238095238096,4,3,2,0,1151.6821384429932,0,0
INSTANCE_041,0.75,delay30,303,442.9711,17.21833333333302,439.005,80,82,0.9345238095238096,4,3,2,0,305.89795112609863,0,0
INSTANCE_041,0.75,p85,101,439.005,0.0,439.005,82,82,1.0,0,3,3,0,823.6739635467529,1,0
INSTANCE_041,0.75,p85,202,439.005,0.0,439.005,82,82,1.0,0,3,3,0,1026.7541408538818,1,0
INSTANCE_041,0.75,p85,303,439.005,0.0,439.005,82,82,1.0,0,3,3,0,291.19324684143066,1,0
