delivery_date,trigger_fraction,vid,rep,resampled_multiplier,nr_lateness,liu_lateness
INSTANCE_012,0.25,V3,6,1.0360572208695804,0.0,0.0
INSTANCE_012,0.25,V3,7,0.907589462482472,0.0,0.0
INSTANCE_012,0.25,V3,8,1.0004212476182772,0.0,0.0
INSTANCE_012,0.25,V3,9,1.0277338873858977,0.0,0.0
INSTANCE_012,0.5,V1,0,0.9505152028932846,0.0,0.0
INSTANCE_012,0.5,V1,1,1.2403154208836862,0.0,0.0
INSTANCE_012,0.5,V1,2,0.9211854734188176,0.0,0.0
INSTANCE_012,0.5,V1,3,0.9779301014755536,0.0,0.0
INSTANCE_012,0.5,V1,4,0.9268717304422636,0.0,0.0
INSTANCE_012,0.5,V1,5,0.916180219798298,0.0,0.0
INSTANCE_012,0.5,V1,6,1.0887542440718676,0.0,0.0
INSTANCE_012,0.5,V1,7,0.8616173352380412,0.0,0.0
INSTANCE_012,0.5,V1,8,0.9829524543843334,0.0,0.0
INSTANCE_012,0.5,V1,9,1.0929359703127333,0.0,0.0
INSTANCE_012,0.5,V2,0,0.9628279497960548,0.0,0.0
INSTANCE_012,0.5,V2,1,0.9123202214256764,0.0,0.0
INSTANCE_012,0.5,V2,2,1.2854101371713365,0.0,0.0
INSTANCE_012,0.5,V2,3,1.188205668839501,0.0,0.0
INSTANCE_012,0.5,V2,4,0.8754770151805792,0.0,0.0
INSTANCE_012,0.5,V2,5,0.956705244011982,0.0,0.0
INSTANCE_012,0.5,V2,6,0.9361391135228758,0.0,0.0
INSTANCE_012,0.5,V2,7,1.047497102792718,0.0,0.0
INSTANCE_012,0.5,V2,8,0.901399027263804,0.0,0.0
INSTANCE_012,0.5,V2,9,0.9012738346157227,0.0,0.0
INSTANCE_012,0.5,V3,0,0.8907921204605406,0.0,0.0
INSTANCE_012,0.5,V3,1,1.0517077858614825,0.0,0.0
INSTANCE_012,0.5,V3,2,1.0921384134030634,0.0,0.0
INSTANCE_012,0.5,V3,3,1.026209413070951,0.0,0.0
INSTANCE_012,0.5,V3,4,1.1811335905313414,0.0,0.0
INSTANCE_012,0.5,V3,5,1.0410971100607462,0.0,0.0
INSTANCE_012,0.5,V3,6,1.2635661311511297,0.0,0.0
INSTANCE_012,0.5,V3,7,1.000865027584959,0.0,0.0
INSTANCE_012,0.5,V3,8,0.9376469833370062,0.0,0.0
INSTANCE_012,0.5,V3,9,0.8797734030963599,0.0,0.0
INSTANCE_012,0.75,V1,0,1.073496397718238,0.0,0.0
INSTANCE_012,0.75,V1,1,1.0148402960482492,0.0,0.0
INSTANCE_012,0.75,V1,2,0.8676319715473424,0.0,0.0
INSTANCE_012,0.75,V1,3,1.299274246905029,0.0,0.0
INSTANCE_012,0.75,V1,4,1.0611621284754895,0.0,0.0
INSTANCE_012,0.75,V1,5,1.0496155129586384,0.0,0.0
INSTANCE_012,0.75,V1,6,1.074884193292617,0.0,0.0
INSTANCE_012,0.75,V1,7,1.0459543909654907,0.0,0.0
INSTANCE_012,0.75,V1,8,0.9525106079077382,0.0,0.0
INSTANCE_012,0.75,V1,9,1.0265599296804746,0.0,0.0
INSTANCE_012,0.75,V2,0,1.1311065405886327,0.0,0.0
INSTANCE_012,0.75,V2,1,0.9879991545896802,0.0,0.0
INSTANCE_012,0.75,V2,2,1.0517077858614825,0.0,0.0
